Name,Link Of Course,Short Description,Description,What You Will Learn,Effort,Subject,Level,Language
Application Design Considerations: An Inclusive Approach,https://www.edx.org/course/introduction-web-accessibility-microsoft-dev240x,Learn best practices and guidelines needed to create Web pages that are more inclusive and empower your users to get the most out of your Web page.,"Creating applications without considerations around diverse abilities can incur additional costs downstream if you are not complying with legal requirements. In this course, we will teach you the guidelines and best practices to design applications to support users with diverse abilities. The focus is on helping you understand the diverse abilities of users for your applications and then present concepts and ideas to help you ensure your application experiences are inclusive for many different users.","What you'll learn
Best practices and guidelines to make your Website more inclusive
Accessibility tools
Page structure
Aria attributes
Required attributes
How CSS affects accessibility
Communicating text for screen readers
Control elements
Complex controls
Images
Links
Edit, email, and search boxes
Charts and graphs
Forms
Filets and legends
Choosing UI frameworks
Filters and sorting
Accordion
Tab controls
Carousel
Tables
Overlays
Optimizing usability while fixing accessibility issues
Error messages
Fixing order issues
Fixing a form",3 to 4 hours per week,Computer Science,Intermediate,English
Personnel Management for Public Libraries,https://www.edx.org/course/personnel-management-public-libraries-michiganx-publib603x,Learn the foundational principles of personnel management and leadership.,"This course, part of the Public Library Management Professional Certificate program, will explore skills needed for hiring and evaluating personnel to reflect your library's mission through an organizational culture that will thrive in your community.
Learners will understand the legal considerations when managing a diverse workforce.","What you'll learn

Organizational culture from an HR perspective
How to write and evaluate job descriptions
A basic understanding of the laws pertaining to hiring (Federal and State)
How to evaluate and develop a budget for staffing costs
How to determine if the budget allows for staffing priorities as described in the organizational chart
How to create and utilize performance evaluations
How to identify needed policies that allow for a healthy and competitive hiring








          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description

Can you afford the Library you wish to lead?
Are your people able to get the job done?
Do you have the right people doing the work?
Do your policies allow you the flexibility to offer a healthy and competitive hiring environment?",2-4 hours per week,Art & Culture,Introductory,English
Introduction to Data Analysis using Excel,https://www.edx.org/course/introduction-data-analysis-using-excel-microsoft-dat205x-1,"Learn the basics of Excel, one of the most popular data analysis tools, to help visualize and gain insights from your data.","The ability to analyze data is a powerful skill that helps you make better decisions. Microsoft Excel is one of the top tools for data analysis and the built-in pivot tables are arguably the most popular analytic tool.
In this course, you will learn how to perform data analysis using Excel’s most popular features. You will learn how to create pivot tables from a range with rows and columns in Excel. You will see the power of Excel pivots in action and their ability to summarize data in flexible ways, enabling quick exploration of data and producing valuable insights from the accumulated data.
Pivots are used in many different industries by millions of users who share the goal of reporting the performance of companies and organizations. In addition, Excel formulas can be used to aggregate data to create meaningful reports. To complement, pivot charts and slicers can be used together to visualize data and create easy to use dashboards.
You should have a basic understanding of creating formulas and how cells are referenced by rows and columns within Excel to take this course. If required, you can can find many help topics on Excel at the Microsoft Office Support Site. You are welcome to use any supported version of Excel you have installed in your computer, however, the instructions are based on Excel 2016. You may not be able to complete all exercises as demonstrated in the lectures but workarounds are provided in the lab instructions or Discussion forum. Please note that Excel for Mac does not support many of the features demonstrated in this course.
After taking this course you’ll be ready to continue to our more advanced Excel course, Analyzing and Visualizing Data with Excel.","What you'll learn
Create flexible data aggregations using pivot tables
Represent data visually using pivot charts
Calculate margins and other common ratios using calculation on pivot table
Filter data using slicers in multiple pivot tables 
Create aggregate reports using formula based techniques







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1

Learn about Excel tables and what is their advantage over regular ranges.
Use a table to filter, sort and see totals.
See how calculations can be used to add columns to the existing data in Excel table.

Week 2

Create our first pivot table.
Use multiple pivot tables and pivot charts to create our first dashboard.
Connect multiple slicers to the pivot tables.

Week 3

Explore in more depth the full power of pivot tables.
See how to filter the data shown in the pivot in many ways to achieve interesting subsets of the data.
Use calculated fields on top of the pivot table to calculate profitability and find anomalies.

Week 4

Use formulas to aggregate the data as an alternative to pivot tables for more flexible reporting layouts.
See how a pivot can use more than one table and introduction to the Excel data table that is described in detail in the more advanced course in these series.",2 to 4 hours per week,Data Analysis & Statistics,Introductory,English
Build Web APIs using ASP.NET,https://www.edx.org/course/build-web-apis-using-asp-net-microsoft-dev247x,"Learn the skills needed to create RESTful services using Web API, REST, ASP.NET Core, and CORS.","Want to learn how to serve data to your client applications using Web API? Perhaps you are considering creating applications for mobile devices but your data needs will exceed the storage capacity of the device. Perhaps you want tighter control over the data and wish to provide options for devices with limited or not always-on connectivity.
This course offers insight into the use of Web APIs using ASP.NET and C#. You’ll start with a review of client/server architectures and learn about data serialization and deserialization with JSON as the data format.
You will then be introduced to REST and RESTful concepts with discussions on synchronous and asynchronous programming.
The third module introduces you to ASP.NET Core and using Entity Framework for data access.
Finally, you will learn how to use Cross-Origin Resource Sharing (CORS) with your services and how to secure your Web APIs","What you'll learn
RESTful Services
Web API
ASP.NET Core
CORS",3 to 4 hours per week,Computer Science,Intermediate,English
Islamic Finance and Banking: Modes of Finance,https://www.edx.org/course/islamic-finance-banking-modes-finance-irtix-ifb102x-0,"Learn about the different modes of Islamic Finance and the applications, management and risk involved with each.","This Islamic finance and banking course gives an overview of the Islamic modes of finance. In this course, you will learn about Murabaha, Ijarah, Salam, Iistisjna, and Istisjrar modes of finance and their applications, management, the risks involved, and the mitigation measures.
You will also learn about the nature of Islamic banking systems and categories of Islamic Financial Institutions (IFIs).
No previous knowledge is needed.","What you'll learn

Introductory overview of Islamic finance and banking
Various Islamic modes of finance
Equity-based and fee-based contracts
Intermediation contracts in Islamic Finance








          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1 - A Framework for the Islamic Financial System-Part 3
Introductory overview of Islamic finance and banking

Leasing or Ijarah Contracts
Conventional vs Islamic Leasing
Issues in Modern Ijarah Contracts
The Concept of Ijarah Sukuk
Deferred Delivery or Salam Contracts
The Istisna‘a Contract
The Istijrar Contract

Week 2 - A Framework for the Islamic Financial System-Part 4 
Introduction

Shirkah and its Two Categories
The Concept of Mudarabah
The Concept of Musharakah
The Wadiah Wad Dhamanah Deposit
The Qard-ul-Hasan Deposit
The Concept of Wakalah (Agency)
The Concept of a Tawarruq Contract
The Concept of a Ju’alah Contract

Week 3 - Islamic Banking System and its Financial Products 
Introduction

Financial Intermediaries: Their Three Main Functions
Intermediation Contracts Permitted by the Sharī‘ah
Trust-based Intermediation Contracts
Security-Based Intermediation Contracts
Business Models for Islamic Financial Institutions (IFIs)
Theoretical Perspective of an IFI’s Balance Sheet
Categories of IFIs

Week 4 - Controversial Financing and Fee-based Products 
Introduction

Bai’ al-Einah (Repurchase)
Bai’ al-Dayn (Bill Discounting)
Tawarruq
The Use of Wakalah to Provide a Letter of Credit
The Use of Kafalah to Provide a Letter of Guarantee
Other Fee-based Services",3-4 hours per week,Economics & Finance,Introductory,English
Knowledge Management and Big Data in Business,https://www.edx.org/course/knowledge-management-big-data-business-hkpolyux-ise101x-3,"Learn about the integrative power of knowledge management, Big Data and Cloud Computing, and how they impact the new business era.","The business landscape is changing so rapidly that traditional management, business and computing courses do not meet the needs for the next generation of workers in the business world. Most traditional methods are of a repetitive, rule-based nature and will be gradually replaced by Artificial Intelligence. In the knowledge era, the most value added job will be to manage knowledge, which includes how knowledge is created, mined, processed, shared and reused in different trades and industry. At the same time, the amount of data and information (prerequisites of knowledge) is exploding exponentially. By 2020, IDC projects that the size of the digital universe will reach 40 zetabytes from all sources including, websites, weblog, sensors, and social media. Digitalisation, Cloud Computing, Big data will transform how we live, work and even think in a Networked Economy. These trends and more will have a profound effect on how we see the world and create policies. In this course, the following topics and more are covered:

What is knowledge management?
How is knowledge captured, elicited, organized and created in business?
Managing knowledge at the enterprise, SMBs and personal levels
Digitalisation and its impact on the workplace, collaborations and new value creation
What is big data and how can we use data analytics from a laymen perspective?
What is Open Linked Data and how can it support machine reasoning?
How can new knowledge be mined from big data?
What are the technical and social problems with big data?


The Cloud as a canvas for service design and business model re-inventionWhat are examples of applications and case studies?The course is offered by the Knowledge Management and Innovation Research Center (KMIRC) of the Hong Kong Polytechnic University. Most of our research is company and industry based. Capabilities and competencies of the KMIRC are further strengthened by the international alliances it has formed with leading practitioners, many of which are regarded as members of the ""Hall of Fame"" in knowledge management, and renowned worldwide. The course is suitable for participants with a background in humanities, management, social science, physical science or engineering. No prior technical background is needed.","What you'll learn

Understand the role of Knowledge Management (KM) practitioners in creating business value
Become familiar with the techniques and tools for capturing, processing, classifying and organizing knowledge
How to analyze large quantities of data and information through analytics
How to use Cloud Services to derive new values and business models
Understand the role of social media and technologies in innovating new business services
Apply the principles you have learnt to company-based business projects",6 to 8 hours per week,Business & Management,Introductory,English
Introduction to Java Programming – Part 1,https://www.edx.org/course/introduction-java-programming-part-1-hkustx-comp102-1x-8,Learn the fundamental elements of Java programming and data abstraction.,"Do you want to become a better problem solver?
This Java course will provide you with a strong understanding of basic Java programming elements and data abstraction using problem representation and the object-oriented framework. As the saying goes, “A picture is worth a thousand words.” This course will use sample objects such as photos or images to illustrate some important concepts to enhance understanding and retention. You will learn to write procedural programs using variables, arrays, control statements, loops, recursion, data abstraction and objects in an integrated development environment.
This course is comprised of two 5-week parts.
Part 1 introduces programming fundamentals:

Problem solving
Primitive data types and arithmetic expressions
Object-oriented programming basics
Branching and Loops
Arrays

Part 2 covers the following topics:

String manipulation
File I/O
Simple event-driven programming
Recursion
Abstract data types","What you'll learn

Take a “real-life” problem and abstract out the pertinent aspects necessary to solve it in an algorithmic manner.
Formulate formal solutions to well-defined problems using the logic of a programming language.
Implement formal solutions in Java using an integrated development environment.
Understand the basics of data abstraction using the object-oriented framework.",3-5 hours per week,Computer Science,Introductory,English
Introduction to Java Programming – Part 2,https://www.edx.org/course/introduction-java-programming-part-2-hkustx-comp102-2x-4,The first MOOC to teach the fundamental elements of Java programming and data abstraction.,"Do you want to become a better problem solver?
This Java course will provide you with a strong understanding of basic Java programming elements and data abstraction using problem representation and the object-oriented framework. As the saying goes, “A picture is worth a thousand words.” This course will use sample objects such as photos or images to illustrate some important concepts to enhance understanding and retention. You will learn to write procedural programs using variables, arrays, control statements, loops, recursion, data abstraction and objects in an integrated development environment.
This course is comprised of two 5-week parts. Part 1 introduces programming fundamentals. Part 2 covers additional advanced topics.","What you'll learn

Take a “real-life” problem and abstract out the pertinent aspects necessary to solve it in an algorithmic manner.
Formulate formal solutions to well-defined problems using the logic of a programming language.
Implement formal solutions in Java using an integrated development environment.
Understand the basics of data abstraction using the object-oriented framework.

 







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Module 06: Multidimensional Arrays, Simple Sorting

Module 07: Character String, File I/O

Module 08: Simple Event Driven Programming

Module 09: Recursion

Module 10: Abstract Data Type",3-5 hours per week,Computer Science,Introductory,English
Introduction to Mobile Application Development using Android,https://www.edx.org/course/introduction-mobile-application-hkustx-comp107x-3,Learn the basics of mobile application development using Android as the platform.,"Have you ever wondered how your favorite mobile applications are developed?
Join us on a gentle journey through the mobile application development landscape, using Android as the platform. Along the way we will learn to use Android Studio, the integrated development environment (IDE) for Android apps. This course is intended for students who have some prior programming experience. The course will introduce you to the basics of the Android platform, Android application components, Activities and their lifecycle, UI design, Multimedia, 2D graphics and networking support in Android.
This course covers the following topics:

Android platform and the Android Studio IDE
Android components, Activities and their lifecycle, Intents
UI Design: Widgets and Layouts, UI Events, Event Listeners
2D graphics: Canvas/Drawing using a view
Multimedia: Audio playback and MediaPlayer
Network support: AsyncTask, HttpURLConnection","What you'll learn

Describe the basic components of an Android application.
Define the lifecycle methods of Android application components.
Describe the basics of event handling in Android.
Describe the basics of graphics and multimedia support in Android.
Demonstrate basic skills of using an integrated development environment (Android Studio) and Android Software Development Kit (SDK) for implementing Android applications.
Demonstrate through a simple application the understanding of the basic concepts of Android.








          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1: The Android Platform: Introduction to the Android platform and the Android Studio IDE, Android components, Activities

 
Week 2: User Interface Design: Intents, Activity lifecycle, UI Design: Widgets and Layouts, UI Events, Event Listeners

 
Week 3: Graphics Support in Android: Drawables, Basics of Material Design, 2D graphics: Canvas/Drawing using a view

 
Week 4: Multimedia in Android: Audio playback and MediaPlayer, SoundPool

 
Week 5: Networking support: Basics of networking in Android, AsyncTask, HttpURLConnection",3-5 hours per week,Computer Science,Introductory,English
"Portfolio Management, Governance, & the PMO",https://www.edx.org/course/portfolio-management-governance-uwashingtonx-pm-it-002x,"Learn how a Project Management Office (PMO) works, discover techniques to monitor and control projects and find out how to keep your project portfolio healthy.","What is a PMO, and how does it work?
This course focuses on the Project Management Office (PMO) and the governance techniques used to monitor and control the delivery of projects and programs.
You’ll learn all about Portfolio management and the different kinds of PMOs in use today. You’ll also explore various approaches for building, maintaining and closing a PMO, as well as monitoring techniques to ensure that projects are completed successfully.","What you'll learn


By the end of this course you will be able to:

Explain what a PMO is and why it exists
Describe how a PMO works within the broader organization
Identify and describe high-level strategies to set up, maintain, and wind down a PMO Understand the techniques to intake, prioritize, and select projects and programs so that they align with the organization's overall business strategy",2-5 hours per week,Business & Management,Introductory,English
